word, tf, idf
utopians, 6, 2
respect, 20, 10
every, 26, 16
religion, 10, 4
disrespectful, 3, 3
tolerate, 3, 3
him, 39, 16
perfection, 2, 2
“i, 3, 3
believe, 19, 14
account, 11, 10
freedom, 27, 10
deep, 5, 5
original, 6, 5
contribution, 7, 7
western, 12, 6
political, 17, 9
thought, 14, 10
i, 56, 18
also, 233, 50
surmise, 2, 2
favored, 2, 2
christians, 2, 2
writing, 26, 5
serve, 6, 6
some, 110, 31
sense, 17, 12
model, 27, 7
europe, 15, 7
”, 70, 21
sanford, 2, 2
207-208, 2, 2
interesting, 18, 10
point, 24, 16
first, 48, 23
came, 8, 7
across, 11, 10
1497, 2, 2
venetian, 4, 2
diplomat, 2, 2
visited, 5, 3
uk, 19, 11
whose, 13, 10
name, 10, 8
unknown, 9, 4
impressions, 2, 2
“the, 14, 9
sun, 5, 4
buoyant, 2, 2
empire”, 2, 2
information, 30, 17
wealth, 10, 4
life-form, 2, 2
before, 24, 17
going, 23, 15
diplomat’s, 2, 2
observations, 7, 4
show, 26, 15
parallelism, 3, 3
raphael’s, 2, 2
wrote, 4, 4
create, 17, 12
ideal, 6, 4
without, 43, 21
status, 13, 10
slavery, 3, 3
dead, 8, 6
penalties, 3, 3
figment, 2, 2
imagination, 4, 3
represents, 7, 5
ideas, 21, 9
never, 22, 13
been, 125, 35
able, 46, 27
express, 5, 5
but, 140, 41
important, 111, 37
became, 11, 9
rather, 13, 10
than, 78, 34
place, 37, 19
bill, 5, 4
ashcroft, 2, 2
says, 13, 8
“thomas, 2, 2
unleashed, 2, 2
remained, 3, 3
critical, 11, 7
focus, 17, 11
visions, 3, 3
better, 34, 14
for, 57, 26
contemporary, 8, 6
theory, 21, 10
longer, 15, 10
spirit, 3, 3
hope, 8, 5
itself, 14, 8
essence, 5, 5
see, 47, 20
jameson, 2, 2
1971, 3, 3
8, 18, 11
however, 57, 29
character, 13, 8
conflict, 11, 8
statements, 5, 3
on, 20, 12
hand, 34, 18
defends, 3, 3
fact, 33, 18
should, 71, 30
private, 12, 7
property, 14, 5
equal, 8, 8
division, 6, 4
emphasizes, 4, 2
since, 11, 8
considered, 20, 14
declare, 2, 2
opposite, 4, 3
hythloday’s, 2, 2
when, 23, 15
plato’s, 14, 2
government, 22, 15
compared, 11, 10
although, 15, 11
several, 12, 10
similarities, 4, 4
class, 18, 9
rulers, 4, 2
fighters, 6, 4
money, 23, 10
winners, 2, 2
use, 81, 32
elite, 5, 4
noble, 3, 3
classless, 2, 2
common, 44, 26
citizens, 8, 5
eric, 2, 2
nelson, 2, 2
mentioned, 6, 5
“34, 2, 2
solution, 4, 4
problem, 41, 21
–, 27, 15
hellenic, 2, 2
land, 11, 8
entire, 12, 8
community, 34, 15
large, 22, 15
family, 83, 23
gloria, 2, 2
replaced, 3, 3
felicitas, 2, 2
organizing, 5, 5
goal, 12, 8
social, 117, 26
1038, 2, 2
plato, 2, 2
democracy, 4, 2
believes, 15, 12
concessions, 2, 2
valid, 3, 3
inequality, 4, 3
everything, 7, 6
equality, 7, 6
fair, 9, 7
approach, 16, 12
war, 22, 8
nothing, 10, 8
related, 32, 17
love, 22, 10
emotions, 22, 9
opposition, 3, 3
peace, 5, 4
everyone, 24, 11
slaves, 2, 2
foundation, 3, 3
maintained, 4, 4
open, 12, 9
sorts, 6, 5
innovation, 2, 2
technical, 2, 2
conservative, 5, 4
attitude, 14, 11
towards, 29, 18
experiences, 7, 6
comparison, 6, 5
our, 78, 24
lives, 19, 13
varies, 3, 3
working, 19, 13
together, 15, 11
vary, 3, 3
region, 6, 4
businessman, 2, 2
high, 38, 23
salary, 3, 3
someone, 15, 12
starving, 3, 3
africa, 5, 5
could, 80, 31
food, 47, 17
would, 117, 34
available, 14, 13
hunger, 7, 4
arrives, 2, 2
women, 46, 12
iraq, 2, 2
middle, 7, 5
end, 30, 19
crime, 6, 5
gorman, 2, 2
beauchamp, 2, 2
explains, 4, 4
“utopia, 2, 2
contrast, 7, 6
is-or, 2, 2
theoretically, 2, 2
ought, 2, 2
be-a, 2, 2
crime”, 2, 2
the idea, 6, 4
idea of, 12, 5
of utopia, 4, 2
utopia discusses, 2, 2
discusses faultlessly, 2, 2
faultlessly designed, 2, 2
designed society, 2, 2
society structure, 2, 2
structure which, 2, 2
which actually, 2, 2
actually does, 2, 2
does not, 15, 12
not exist, 2, 2
exist the, 2, 2
the word, 3, 3
word utopia, 2, 2
utopia comes, 2, 2
comes from, 4, 4
from greek, 2, 2
greek where, 2, 2
where “ou”, 2, 2
“ou” stands, 2, 2
stands for, 2, 2
for “nonexistent, 2, 2
“nonexistent “eu”, 2, 2
“eu” for, 2, 2
for “perfectness”, 2, 2
“perfectness” and, 2, 2
and “topos”, 2, 2
“topos” for, 2, 2
for area, 2, 2
area or, 4, 2
or country, 2, 2
country nowadays, 2, 2
nowadays utopias, 2, 2
utopias are, 2, 2
are well-known, 2, 2
well-known as, 3, 3
as the, 64, 29
the society, 17, 6
society forms, 2, 2
forms that, 2, 2
that are, 30, 22
are impossible, 3, 3
impossible to, 4, 4
to make, 24, 19
make it, 7, 6
it occur, 2, 2
occur there, 2, 2
there are, 28, 16
are two, 7, 6
two types, 5, 5
types of, 12, 11
utopia negative, 2, 2
negative and, 2, 2
and positive, 2, 2
positive the, 2, 2
the negative, 3, 3
negative utopia, 2, 2
utopia is, 4, 2
is called, 7, 3
called dystopia, 2, 2
dystopia which, 2, 2
which describes, 3, 3
describes the, 2, 2
the type, 3, 3
type of, 17, 11
of society, 17, 6
society that, 5, 5
that has, 11, 8
has strict, 2, 2
strict rules, 2, 2
rules authorities, 2, 2
authorities and, 2, 2
and no, 6, 6
no room, 2, 2
room for, 2, 2
for people’s, 2, 2
people’s fault, 2, 2
fault the, 2, 2
the positive, 2, 2
positive utopia, 2, 2
called eutopia, 2, 2
eutopia expresses, 2, 2
expresses the, 2, 2
the real, 7, 5
real perfectness, 2, 2
perfectness and, 2, 2
and the, 140, 42
the perfect, 6, 4
perfect country, 2, 2
country the, 3, 3
the most, 12, 11
most famous, 3, 3
famous example, 2, 2
example for, 3, 3
for positive, 2, 2
positive utopias, 2, 2
utopias is, 2, 2
is thomas, 2, 2
thomas more’s, 6, 2
more’s utopia, 16, 2
utopia the, 8, 2
the author, 3, 3
author of, 2, 2
of the, 474, 57
the book, 20, 4
book utopia, 8, 2
utopia thomas, 4, 2
thomas more, 18, 2
more was, 8, 2
was born, 3, 3
born in, 2, 2
in 1478, 2, 2
1478 in, 2, 2
in london, 2, 2
london and, 2, 2
and he, 6, 4
he had, 5, 5
had an, 8, 6
an education, 2, 2
education on, 2, 2
on law, 2, 2
law he, 2, 2
he was, 7, 5
was a, 27, 16
a commissioner, 2, 2
commissioner and, 2, 2
and a, 21, 17
a member, 2, 2
member of, 2, 2
of parliament, 2, 2
parliament he, 2, 2
was against, 2, 2
against the, 10, 6
the wars, 4, 2
wars unfair, 2, 2
unfair taxes, 2, 2
taxes death, 2, 2
death penalty, 2, 2
penalty although, 2, 2
although he, 4, 4
he seems, 2, 2
seems to, 8, 7
to be, 129, 37
be anti-monarchic, 2, 2
anti-monarchic due, 2, 2
due to, 56, 29
to his, 7, 5
his behaviors, 2, 2
behaviors and, 2, 2
and thoughts, 5, 3
thoughts he, 2, 2
he was, 15, 10
was the, 20, 13
the consultant, 2, 2
consultant of, 2, 2
of king, 2, 2
king of, 2, 2
of england, 6, 3
england henry, 2, 2
henry 8th, 2, 2
8th more, 2, 2
was always, 4, 3
always protecting, 2, 2
protecting the, 3, 3
the rights, 7, 6
rights and, 7, 5
thoughts of, 3, 3
the humanity, 2, 2
humanity and, 2, 2
and that, 22, 12
that was, 9, 7
the reason, 7, 6
reason for, 8, 7
for thomas, 2, 2
more to, 2, 2
to write, 6, 4
write utopia, 2, 2
the book, 9, 3
utopia is, 10, 2
is originally, 2, 2
originally written, 2, 2
written in, 4, 2
in latin, 4, 2
latin and, 2, 2
and translated, 2, 2
translated into, 2, 2
into english, 2, 2
english the, 2, 2
the title, 2, 2
title of, 3, 3
book in, 2, 2
latin is, 2, 2
is “libellus, 2, 2
“libellus vere, 2, 2
vere aureus, 2, 2
aureus nec, 2, 2
nec minus, 2, 2
minus salutaris, 2, 2
salutaris quam, 2, 2
quam festivus, 2, 2
festivus de, 2, 2
de optimo, 2, 2
optimo rei, 2, 2
rei publicae, 2, 2
publicae statu, 2, 2
statu deque, 2, 2
deque nova, 2, 2
nova insula, 2, 2
insula utopia”, 2, 2
utopia” and, 2, 2
and “no, 2, 2
“no less, 2, 2
less beneficial, 2, 2
beneficial than, 2, 2
than entertaining, 2, 2
entertaining a, 2, 2
a truly, 2, 2
truly golden, 2, 2
golden little, 2, 2
little book”, 2, 2
book” are, 2, 2
are the, 37, 23
the two, 7, 7
two translated, 2, 2
translated titles, 2, 2
titles in, 2, 2
in english, 2, 2
english in, 2, 2
in the, 35, 23
book thomas, 2, 2
more tells, 2, 2
tells about, 2, 2
about the, 35, 18
the nonexistent, 2, 2
nonexistent country, 2, 2
country called, 2, 2
called utopia, 2, 2
the narrators, 2, 2
narrators of, 2, 2
book are, 2, 2
are vespucci, 2, 2
vespucci who, 2, 2
who is, 16, 9
is an, 30, 19
an italian, 2, 2
italian sailor, 2, 2
sailor and, 2, 2
the guest, 2, 2
guest person, 2, 2
person in, 2, 2
in the, 308, 53
the trip, 4, 3
trip is, 3, 3
is raphael, 2, 2
raphael hytloday, 4, 2
hytloday utopia, 2, 2
an island, 3, 3
island which, 2, 2
which no, 2, 2
no one, 7, 6
one knows, 2, 2
knows where, 2, 2
where it, 3, 3
it is, 126, 37
is located, 3, 3
located it, 2, 2
it consists, 2, 2
consists of, 10, 8
of fifty-four, 2, 2
fifty-four cities, 2, 2
cities and, 2, 2
and they, 22, 16
they speak, 2, 2
speak the, 2, 2
the same, 34, 24
same language, 2, 2
language in, 2, 2
in utopia, 6, 2
utopia they, 2, 2
they have, 31, 18
have management, 2, 2
management system, 2, 2
system which, 3, 3
which is, 33, 17
is known, 7, 6
known as, 15, 14
as “philarch”, 2, 2
“philarch” in, 2, 2
in “philarch”, 2, 2
“philarch” people, 2, 2
people work, 2, 2
work collectively, 2, 2
collectively three, 2, 2
three hours, 4, 2
hours in, 4, 2
the morning, 2, 2
morning and, 2, 2
and three, 2, 2
the afternoon, 2, 2
afternoon a, 2, 2
a total, 6, 5
total of, 2, 2
of six, 3, 3
six hours, 2, 2
hours a, 3, 3
a day, 6, 6
day all, 2, 2
all the, 4, 4
the problems, 5, 5
problems are, 8, 5
are discussed, 3, 3
discussed in, 5, 4
the law, 4, 4
law congress, 2, 2
congress which, 2, 2
which all, 3, 3
all people, 6, 4
people can, 4, 4
can attend, 2, 2
attend in, 3, 3
utopia all, 2, 2
people have, 7, 5
have their, 6, 5
their rights, 3, 3
and these, 2, 2
these rights, 3, 3
rights are, 2, 2
are protected, 3, 3
protected by, 2, 2
by the, 62, 30
perfect state, 2, 2
state system, 2, 2
system the, 4, 4
is written, 2, 2
in 1516, 2, 2
1516 which, 2, 2
is the, 85, 37
same time, 12, 11
time range, 2, 2
range with, 2, 2
with renaissance, 2, 2
renaissance the, 2, 2
the renaissance, 2, 2
renaissance time, 2, 2
time is, 2, 2
is when, 5, 4
when people, 3, 3
people desire, 2, 2
desire to, 12, 7
to expand, 2, 2
expand the, 2, 2
the limits, 2, 2
limits and, 3, 3
and explore, 2, 2
explore more, 2, 2
more about, 8, 6
the life, 6, 5
life and, 9, 8
the nature, 8, 5
nature thomas, 2, 2
more completes, 2, 2
completes utopia, 2, 2
utopia only, 2, 2
only twenty-four, 2, 2
twenty-four years, 2, 2
years after, 4, 4
after the, 11, 11
the discovery, 2, 2
discovery of, 3, 3
of america, 16, 6
america at, 2, 2
at that, 4, 2
that era, 4, 2
era people, 2, 2
have curiosity, 2, 2
curiosity about, 2, 2
about exploring, 2, 2
exploring new, 4, 2
new places, 4, 2
places in, 5, 3
the world, 51, 21
world which, 3, 3
which have, 2, 2
have not, 6, 5
not explored, 2, 2
explored yet, 2, 2
yet this, 2, 2
this curiosity, 2, 2
curiosity of, 3, 3
of exploring, 2, 2
world affects, 2, 2
affects thomas, 2, 2
more as, 2, 2
as well, 40, 20
well as, 25, 14
the other, 32, 17
other people, 6, 6
people and, 11, 9
and creates, 3, 3
creates his, 2, 2
his imaginative, 2, 2
imaginative wok, 2, 2
wok utopia, 2, 2
book is, 3, 3
is affected, 4, 2
affected by, 13, 7
the situation, 6, 6
situation of, 3, 3
of that, 9, 6
era as, 2, 2
as more’s, 2, 2
more’s personal, 2, 2
personal interests, 2, 2
interests such, 2, 2
such as, 73, 28
as his, 3, 3
his interest, 4, 2
interest on, 2, 2
on astronomy, 2, 2
astronomy thomas, 2, 2
more wanted, 2, 2
wanted to, 8, 5
to have, 29, 24
have an, 6, 6
an astronomy, 2, 2
astronomy education, 2, 2
education however, 2, 2
however it, 2, 2
it did, 4, 4
did not, 33, 18
not happen, 2, 2
happen he, 2, 2
he reflects, 2, 2
reflects his, 2, 2
interest in, 3, 3
in astronomy, 4, 2
astronomy by, 2, 2
by telling, 2, 2
telling that, 3, 3
that the, 94, 36
the utopian, 2, 2
utopian people, 2, 2
people are, 8, 8
are good, 3, 3
good in, 2, 2
astronomy another, 2, 2
another example, 4, 2
example is, 6, 4
is that, 29, 19
that raphael, 2, 2
raphael hythloday, 2, 2
hythloday is, 2, 2
is a, 136, 38
a sailor, 3, 3
sailor like, 2, 2
like vespucci, 2, 2
vespucci this, 2, 2
this is, 31, 21
is not, 49, 22
not a, 15, 11
a coincidence, 2, 2
coincidence because, 2, 2
because thomas, 2, 2
more is, 4, 2
by vespucci’s, 2, 2
vespucci’s sailor, 2, 2
sailor stories, 2, 2
stories so, 2, 2
so it, 3, 3
it can, 23, 12
can be, 93, 29
be seen, 11, 9
seen that, 4, 3
the author, 6, 4
author writes, 2, 2
writes the, 2, 2
book under, 2, 2
under the, 13, 11
the effects, 8, 7
effects of, 12, 8
of other, 4, 4
other people’s, 5, 5
people’s books, 2, 2
books and, 7, 5
the reflection, 2, 2
reflection of, 2, 2
of his, 21, 9
his own, 6, 5
own interests, 2, 2
interests in, 2, 2
in more’s, 8, 2
more’s book, 2, 2
book there, 2, 2
there are, 27, 18
are many, 9, 7
many conditions, 2, 2
conditions that, 3, 3
that match, 2, 2
match with, 2, 2
with the, 91, 34
real life, 3, 3
life in, 3, 3
in sixteenth, 2, 2
sixteenth century, 2, 2
century addition, 2, 2
addition to, 9, 5
to spain, 2, 2
spain and, 2, 2
and france, 3, 3
france england, 2, 2
england developed, 2, 2
developed in, 3, 3
the economical, 2, 2
economical aspect, 2, 2
aspect during, 2, 2
during the, 8, 7
the discoveries, 2, 2
discoveries all, 2, 2
all of, 17, 11
the treasures, 2, 2
treasures that, 2, 2
that were, 3, 3
were found, 2, 2
found or, 2, 2
or stolen, 2, 2
stolen helped, 2, 2
helped bourgeoisie, 2, 2
bourgeoisie to, 2, 2
to progress, 2, 2
progress and, 3, 3
and it, 21, 14
it created, 2, 2
created the, 2, 2
the unfair, 2, 2
unfair economical, 4, 2
economical differences, 2, 2
differences between, 6, 5
between people, 2, 2
people in, 2, 2
in addition, 20, 11
to bourgeoisie’s, 2, 2
bourgeoisie’s development, 2, 2
development monarchy, 2, 2
monarchy was, 2, 2
was increasing, 2, 2
increasing with, 2, 2
with it, 3, 3
it full, 2, 2
full strength, 2, 2
strength and, 2, 2
and pressure, 2, 2
pressure over, 2, 2
over the, 25, 19
society and, 19, 12
and england, 3, 3
england was, 2, 2
was either, 2, 2
either sending, 2, 2
sending their, 3, 3
their colonies, 2, 2
colonies or, 2, 2
or taking, 3, 3
taking the, 4, 4
the control, 4, 4
control of, 6, 6
of many, 11, 9
many lands, 2, 2
lands thomas, 2, 2
is against, 6, 2
the english, 4, 4
english imperialism, 2, 2
imperialism and, 3, 3
utopia shows, 2, 2
shows this, 2, 2
this ideology, 2, 2
ideology in, 2, 2
book utopian, 2, 2
utopian society, 2, 2
society is, 9, 6
against having, 2, 2
having wars, 2, 2
wars and, 4, 2
and colonies, 5, 3
colonies and, 3, 3
and that’s, 3, 3
that’s how, 2, 2
how the, 10, 10
author illustrates, 2, 2
illustrates his, 2, 2
his idea, 3, 3
of being, 10, 9
being against, 2, 2
colonies in, 2, 2
utopia the, 2, 2
the system, 4, 3
system is, 2, 2
is tolerant, 2, 2
tolerant of, 6, 2
of people’s, 2, 2
people’s new, 2, 2
new ideologies, 2, 2
ideologies and, 2, 2
is even, 4, 4
even tolerant, 2, 2
of their, 58, 25
their faults, 2, 2
faults or, 2, 2
or tolerant, 2, 2
of religious, 4, 2
religious an, 2, 2
an example, 5, 5
a person, 15, 13
person who, 4, 4
who comes, 4, 4
comes in, 5, 5
in to, 2, 2
to utopian, 2, 2
utopian environment, 2, 2
environment and, 6, 6
and makes, 6, 6
makes propaganda, 2, 2
propaganda of, 2, 2
his christianity, 2, 2
christianity and, 2, 2
he understates, 2, 2
understates the, 2, 2
other religions, 2, 2
religions this, 2, 2
this situation, 2, 2
situation is, 3, 3
not appreciated, 2, 2
appreciated by, 3, 3
by utopians, 2, 2
utopians because, 2, 2
because they, 10, 9
have respect, 5, 3
respect for, 7, 4
for every, 5, 5
every ideology, 2, 2
ideology and, 2, 2
and religion, 3, 3
religion although, 2, 2
although the, 7, 6
the person, 5, 4
person is, 3, 3
is disrespectful, 3, 3
disrespectful utopians, 2, 2
utopians tolerate, 2, 2
tolerate him, 2, 2
him utopians, 2, 2
utopians have, 2, 2
for the, 99, 38
nature for, 2, 2
world and, 11, 9
is all, 6, 6
all about, 5, 5
about perfection, 2, 2
perfection “i, 2, 2
“i believe, 2, 2
believe that, 6, 6
that more’s, 2, 2
more’s account, 2, 2
account of, 6, 5
religious freedom, 6, 2
freedom in, 2, 2
in utopia, 2, 2
utopia 1516, 2, 2
1516 is, 2, 2
a deep, 2, 2
deep and, 3, 3
and original, 3, 3
original contribution, 2, 2
contribution to, 5, 5
to western, 2, 2
western political, 2, 2
political thought, 2, 2
thought i, 2, 2
i also, 3, 3
also surmise, 2, 2
surmise that, 2, 2
that more, 2, 2
more favored, 2, 2
favored religious, 2, 2
freedom for, 3, 3
for christians, 2, 2
christians when, 2, 2
when writing, 2, 2
writing utopia, 2, 2
utopia and, 4, 2
that he, 19, 12
he designed, 2, 2
designed utopian, 2, 2
utopian religious, 2, 2
freedom to, 4, 4
to serve, 3, 3
serve in, 3, 3
in some, 14, 10
some sense, 2, 2
sense as, 2, 2
as a, 80, 34
a model, 2, 2
model for, 2, 2
for europe, 2, 2
europe ”, 2, 2
” sanford, 2, 2
sanford 207-208, 2, 2
207-208 another, 2, 2
another interesting, 3, 3
interesting point, 4, 3
point is, 3, 3
that in, 13, 9
book more, 2, 2
more and, 2, 2
and hythloday, 2, 2
hythloday first, 2, 2
first came, 2, 2
came across, 2, 2
across in, 2, 2
in 1497, 2, 2
1497 at, 2, 2
that time, 9, 4
time a, 2, 2
a venetian, 2, 2
venetian diplomat, 2, 2
diplomat visited, 2, 2
visited the, 2, 2
the uk, 11, 7
uk whose, 2, 2
whose name, 2, 2
name was, 2, 2
was unknown, 2, 2
unknown this, 2, 2
this person, 2, 2
person has, 3, 3
has written, 2, 2
written his, 2, 2
his impressions, 2, 2
impressions about, 2, 2
about “the, 2, 2
“the sun, 2, 2
sun on, 2, 2
on the, 100, 36
the buoyant, 2, 2
buoyant empire”, 2, 2
empire” the, 2, 2
the unknown, 2, 2
unknown person, 2, 2
person had, 2, 2
had some, 2, 2
some information, 2, 2
information about, 8, 7
the wealth, 5, 3
wealth and, 2, 2
and life-form, 2, 2
life-form in, 2, 2
in england, 8, 5
england before, 2, 2
before going, 2, 2
going to, 12, 8
to england, 2, 2
england venetian, 2, 2
venetian diplomat’s, 2, 2
diplomat’s observations, 2, 2
observations on, 4, 2
on england, 2, 2
england show, 2, 2
show parallelism, 2, 2
parallelism with, 2, 2
with raphael’s, 2, 2
raphael’s observations, 2, 2
on utopia, 2, 2
utopia in, 2, 2
in more’s, 2, 2
more wrote, 2, 2
wrote utopia, 2, 2
utopia to, 2, 2
to create, 8, 7
create the, 2, 2
the ideal, 3, 3
ideal country, 2, 2
country without, 2, 2
without having, 2, 2
having unfair, 2, 2
economical status, 2, 2
status slavery, 2, 2
slavery dead, 2, 2
dead penalties, 2, 2
penalties in, 2, 2
utopia which, 2, 2
a figment, 2, 2
figment of, 2, 2
his imagination, 2, 2
imagination in, 2, 2
in his, 16, 11
his work, 2, 2
work raphael, 2, 2
hytloday represents, 2, 2
represents the, 2, 2
the ideas, 4, 4
ideas of, 2, 2
of more, 2, 2
more that, 2, 2
was never, 2, 2
never been, 3, 3
been able, 4, 4
able to, 42, 24
to express, 4, 4
express but, 2, 2
but more, 2, 2
more important, 5, 5
important utopia, 2, 2
utopia became, 2, 2
became an, 3, 3
an ideology, 2, 2
ideology rather, 2, 2
rather than, 6, 6
than a, 7, 7
a place, 4, 2
place like, 2, 2
like bill, 2, 2
bill ashcroft, 2, 2
ashcroft says, 2, 2
says “thomas, 2, 2
“thomas more, 2, 2
more unleashed, 2, 2
unleashed an, 2, 2
an idea, 5, 3
idea that, 3, 3
has remained, 2, 2
remained a, 2, 2
a critical, 3, 3
critical focus, 2, 2
focus of, 4, 4
of all, 14, 13
all visions, 2, 2
visions of, 3, 3
of a, 66, 37
a better, 4, 2
better society, 2, 2
society for, 2, 2
for most, 2, 2
most contemporary, 2, 2
contemporary utopian, 2, 2
utopian theory, 2, 2
theory utopia, 2, 2
is no, 16, 11
no longer, 10, 5
longer a, 3, 3
place but, 3, 3
but the, 13, 11
the spirit, 2, 2
spirit of, 2, 2
of hope, 2, 2
hope itself, 2, 2
itself the, 2, 2
the essence, 3, 3
essence of, 4, 4
