word, tf, idf
rich, 6, 6
there, 68, 40
another, 22, 17
reason, 28, 22
why, 32, 21
car, 53, 27
production, 4, 4
there, 33, 25
always, 49, 31
focus, 5, 5
science, 6, 4
technology, 9, 9
improving, 3, 3
nature, 14, 11
things, 57, 31
are, 275, 82
an, 133, 68
exception, 4, 4
infact, 2, 2
lot, 33, 23
investment, 11, 7
going, 21, 20
into, 69, 40
making, 21, 20
solar, 2, 2
better, 32, 22
fuel, 13, 5
efficient, 13, 12
certainly, 2, 2
expenditure, 2, 2
being, 49, 30
done, 20, 17
research, 3, 3
never, 44, 34
make, 78, 46
use, 37, 26
it, 313, 99
suggests, 3, 3
want, 30, 17
lastly, 2, 2
necessity, 2, 2
combined, 2, 2
luxury, 3, 3
arena, 2, 2
as, 245, 86
today, 23, 16
when, 45, 32
proportionate, 3, 3
income, 10, 5
they, 223, 71
less, 26, 19
public, 14, 10
utility, 2, 2
services, 3, 3
taking, 5, 5
middle, 5, 5
group, 17, 10
example, 53, 40
illustrate, 5, 5
shifts, 2, 2
peoples, 7, 6
preferences, 2, 2
personalise, 2, 2
commodities, 3, 3
one, 15, 14
definitely, 20, 18
own, 51, 34
something, 34, 23
when, 87, 57
one, 113, 52
money, 19, 12
do, 124, 56
so, 89, 52
development, 12, 10
throughout, 6, 6
world, 76, 41
switch, 2, 2
owning, 2, 2
transport, 5, 4
system, 19, 10
therefore, 23, 20
indeed, 5, 5
come, 16, 15
the pesipicuous, 2, 2
pesipicuous phrase, 2, 2
phrase on, 2, 2
on the, 21, 18
the move, 2, 2
move has, 2, 2
has probably, 2, 2
probably been, 2, 2
been termed, 2, 2
termed after, 2, 2
after much, 2, 2
much thought, 2, 2
thought research, 2, 2
research shows, 2, 2
shows that, 5, 5
that since, 2, 2
since the, 6, 6
the dawn, 2, 2
dawn of, 2, 2
of civilisation, 2, 2
civilisation man, 2, 2
man has, 4, 2
has been, 15, 12
been a, 7, 5
a tourist, 2, 2
tourist in, 2, 2
in a, 45, 39
a crude, 2, 2
crude sense, 2, 2
sense this, 2, 2
this is, 14, 13
is evident, 2, 2
evident in, 2, 2
in the, 175, 77
the study, 3, 3
study of, 3, 3
of nomads, 2, 2
nomads shifting, 2, 2
shifting agriculture, 2, 2
agriculture and, 2, 2
and the, 69, 45
the like, 2, 2
like however, 2, 2
however my, 2, 2
my purpose, 2, 2
purpose to, 2, 2
to highlight, 2, 2
highlight this, 2, 2
this fact, 2, 2
fact is, 3, 3
is not, 29, 23
not to, 8, 6
to discuss, 2, 2
discuss history, 2, 2
history but, 2, 2
but to, 8, 8
to merely, 2, 2
merely initiate, 2, 2
initiate the, 2, 2
the debate, 3, 3
debate whether, 2, 2
whether therell, 2, 2
therell be, 2, 2
be fewer, 4, 4
fewer cars, 6, 4
cars in, 13, 6
the coming, 2, 2
coming twenty, 2, 2
twenty years, 12, 6
years or, 2, 2
or not, 12, 10
not in, 2, 2
in my, 17, 14
my opinion, 16, 16
opinion the, 4, 4
the number, 11, 8
number of, 16, 11
of cars, 12, 7
cars produced, 2, 2
produced in, 2, 2
the future, 24, 14
future will, 3, 3
will be, 32, 18
be on, 3, 3
on the, 75, 48
the rise, 4, 4
rise rather, 2, 2
rather than, 11, 10
than passing, 2, 2
passing a, 2, 2
a declination, 2, 2
declination i, 2, 2
i would, 40, 24
would like, 16, 10
like to, 22, 14
to support, 8, 7
support my, 2, 2
my stand, 2, 2
stand with, 2, 2
with the, 50, 37
the following, 4, 4
following reasons, 4, 4
reasons the, 3, 3
the automative, 2, 2
automative industry, 2, 2
industry has, 2, 2
has witnessed, 2, 2
witnessed a, 2, 2
a manifold, 2, 2
manifold increase, 2, 2
increase since, 2, 2
since man, 2, 2
has invented, 2, 2
invented the, 2, 2
the wheel, 3, 3
wheel so, 2, 2
so to, 2, 2
to believe, 9, 5
believe that, 27, 24
that this, 9, 9
this rise, 2, 2
rise will, 2, 2
will ever, 3, 3
ever decline, 2, 2
decline is, 2, 2
is highly, 4, 4
highly unlikely, 2, 2
unlikely and, 2, 2
and improbable, 2, 2
improbable firstly, 2, 2
firstly economic, 2, 2
economic reviews, 2, 2
reviews show, 2, 2
show that, 5, 5
that living, 2, 2
living conditions, 2, 2
conditions will, 2, 2
will improve, 2, 2
improve in, 2, 2
future which, 2, 2
which means, 5, 5
means people, 2, 2
people have, 12, 7
have greater, 2, 2
greater leisure, 2, 2
leisure time, 3, 3
time that, 2, 2
that goes, 2, 2
goes out, 2, 2
out to, 5, 5
to suggest, 2, 2
suggest that, 2, 2
that people, 11, 7
people will, 9, 9
will have, 12, 10
have more, 8, 6
more time, 6, 6
time to, 19, 14
to spend, 7, 7
spend with, 3, 3
with their, 8, 8
their families, 2, 2
families and, 2, 2
and go, 3, 3
go out, 3, 3
out on, 3, 3
on vacations, 2, 2
vacations and, 2, 2
and using, 2, 2
using cars, 2, 2
cars people, 2, 2
people can, 11, 11
can drive, 2, 2
drive to, 3, 3
to farther, 2, 2
farther destinations, 2, 2
destinations even, 2, 2
even if, 4, 4
if the, 8, 8
the thought, 3, 3
thought is, 2, 2
is inclinated, 2, 2
inclinated to, 2, 2
to the, 120, 65
the rich, 2, 2
rich there, 2, 2
there is, 23, 17
is another, 6, 5
another reason, 2, 2
reason to, 5, 5
believe why, 2, 2
why car, 2, 2
car production, 2, 2
production will, 2, 2
will increase, 2, 2
increase there, 2, 2
there has, 2, 2
has always, 3, 3
always been, 5, 5
a focus, 2, 2
focus on, 3, 3
on science, 2, 2
science and, 2, 2
and technology, 2, 2
technology improving, 2, 2
improving the, 2, 2
the nature, 6, 6
nature of, 6, 6
of things, 7, 7
things and, 5, 5
and cars, 2, 2
cars are, 3, 3
are not, 16, 15
not an, 3, 3
an exception, 3, 3
exception infact, 2, 2
infact lot, 2, 2
lot of, 23, 16
of investment, 2, 2
investment is, 2, 2
is going, 4, 4
going into, 3, 3
into making, 2, 2
making solar, 2, 2
solar cars, 2, 2
cars and, 3, 3
and better, 3, 3
better fuel, 2, 2
fuel efficient, 2, 2
efficient cars, 2, 2
cars certainly, 2, 2
certainly the, 2, 2
the expenditure, 2, 2
expenditure being, 2, 2
being done, 4, 4
done on, 3, 3
the research, 2, 2
research is, 2, 2
to never, 2, 2
never make, 2, 2
make use, 3, 3
use of, 10, 8
of it, 6, 6
it in, 3, 3
future this, 2, 2
this suggests, 2, 2
suggests that, 3, 3
people want, 3, 3
want to, 25, 16
to have, 20, 18
more cars, 5, 3
future lastly, 2, 2
lastly necessity, 2, 2
necessity is, 2, 2
is being, 3, 3
being combined, 2, 2
combined with, 2, 2
with luxury, 2, 2
luxury in, 2, 2
the economic, 5, 3
economic arena, 2, 2
arena as, 2, 2
as of, 2, 2
of today, 5, 5
today when, 2, 2
when people, 3, 3
have a, 26, 23
a proportionate, 2, 2
proportionate rise, 2, 2
rise in, 3, 3
in income, 4, 2
income they, 2, 2
they use, 2, 2
use less, 3, 3
less of, 3, 3
of public, 3, 3
public utility, 2, 2
utility services, 2, 2
services taking, 2, 2
taking the, 2, 2
the middle, 5, 5
middle income, 2, 2
income group, 2, 2
group as, 2, 2
as an, 10, 10
an example, 7, 7
example i, 7, 6
to illustrate, 3, 3
illustrate that, 2, 2
that an, 2, 2
an increase, 2, 2
increase in, 2, 2
income always, 2, 2
always shifts, 2, 2
shifts peoples, 2, 2
peoples preferences, 2, 2
preferences to, 2, 2
to personalise, 2, 2
personalise commodities, 2, 2
commodities one, 2, 2
one would, 3, 3
would definitely, 2, 2
definitely want, 2, 2
to own, 2, 2
own something, 2, 2
something when, 2, 2
when one, 2, 2
one has, 4, 4
has the, 6, 6
the money, 4, 4
money to, 3, 3
to do, 44, 29
do so, 5, 4
so and, 2, 2
and with, 2, 2
economic development, 3, 3
development throughout, 2, 2
throughout the, 6, 6
the world, 47, 30
world people, 2, 2
people would, 8, 8
to switch, 2, 2
switch to, 2, 2
to owning, 2, 2
owning their, 2, 2
their own, 16, 15
own cars, 2, 2
cars than, 3, 3
than using, 2, 2
using the, 3, 3
the public, 5, 5
public transport, 3, 3
transport system, 2, 2
system therefore, 2, 2
therefore i, 8, 8
i believe, 32, 24
that indeed, 2, 2
indeed there, 2, 2
there will, 6, 4
be more, 16, 14
the years, 3, 3
years to, 3, 3
to come, 5, 5
evening, 2, 2
named, 3, 3
kris, 9, 1
attended, 1, 1
wedding, 2, 2
party, 4, 3
it, 70, 53
was, 238, 57
held, 8, 7
hotel, 1, 1
where, 24, 17
were, 94, 39
guests, 1, 1
everyone, 5, 4
talked, 3, 3
lively, 3, 3
happily, 8, 7
during, 15, 10
meal, 2, 2
including, 3, 3
being, 3, 3
best, 45, 27
friend, 9, 6
couple, 2, 2
drank, 7, 3
lots, 7, 7
ecstasy, 1, 1
because, 76, 47
he, 99, 35
felt, 9, 8
really, 29, 23
happy, 15, 11
for, 301, 98
them, 102, 55
later, 4, 4
excused, 1, 1
himself, 8, 7
left, 6, 6
he, 37, 18
stood, 1, 1
road, 24, 19
waiting, 14, 9
taxi, 5, 4
but, 29, 23
unfortunately, 1, 1
too, 33, 25
stay, 11, 11
conscious, 1, 1
upon, 3, 3
seeing, 7, 6
him, 37, 19
waved, 2, 2
his, 114, 37
arms, 2, 2
immediately, 5, 5
saying, 10, 8
hey, 1, 1
taxi, 1, 1
loudly, 3, 3
then, 17, 15
stopped, 4, 4
wasn´t, 1, 1
aware, 5, 5
police, 9, 5
couldn´t, 2, 2
remember, 6, 6
anything, 5, 5
had, 83, 36
happened, 13, 12
office, 7, 6
waken, 1, 1
up, 109, 53
by, 172, 78
thunderous, 1, 1
sound, 9, 7
what, 9, 9
you, 120, 27
doing, 51, 25
do, 1, 1
know, 47, 35
said, 18, 15
officer, 4, 3
shocked, 6, 6
death, 2, 2
no, 62, 43
explaination, 1, 1
about, 1, 1
30, 1, 1
minutes, 7, 5
later, 5, 5
allowed, 5, 5
leave, 7, 5
ashamed, 2, 2
trip, 16, 11
appologized, 1, 1
irrational, 1, 1
behavior, 1, 1
promised, 3, 3
wouldn´t, 2, 2
again, 19, 17
one evening, 2, 2
evening a, 1, 1
a man, 7, 6
man named, 1, 1
named kris, 1, 1
kris attended, 1, 1
attended a, 1, 1
a wedding, 1, 1
wedding party, 1, 1
party it, 1, 1
it was, 14, 12
was held, 1, 1
held in, 2, 2
a luxury, 1, 1
luxury hotel, 1, 1
hotel where, 1, 1
where there, 1, 1
there were, 7, 5
were a, 3, 3
a lot, 27, 19
of guests, 1, 1
guests everyone, 1, 1
everyone talked, 1, 1
talked lively, 1, 1
lively and, 1, 1
and happily, 1, 1
happily during, 1, 1
during the, 6, 4
the meal, 2, 2
meal including, 1, 1
including kris, 1, 1
kris being, 1, 1
being the, 1, 1
the best, 25, 19
best friend, 3, 3
friend of, 1, 1
of the, 176, 81
the couple, 1, 1
couple kris, 1, 1
kris drank, 1, 1
drank a, 2, 2
a lots, 1, 1
lots in, 1, 1
in ecstasy, 1, 1
ecstasy because, 1, 1
because he, 1, 1
he felt, 1, 1
felt really, 1, 1
really happy, 1, 1
happy for, 1, 1
for them, 10, 8
them later, 1, 1
later kris, 1, 1
kris excused, 1, 1
excused himself, 1, 1
himself and, 1, 1
and left, 1, 1
left the, 1, 1
the party, 1, 1
party he, 1, 1
he stood, 1, 1
stood on, 1, 1
the road, 18, 14
road waiting, 1, 1
waiting for, 4, 4
for a, 19, 17
a taxi, 5, 4
taxi but, 1, 1
but unfortunately, 1, 1
unfortunately he, 1, 1
he drank, 2, 2
drank too, 1, 1
too much, 3, 3
much to, 2, 2
to stay, 7, 7
stay conscious, 1, 1
conscious upon, 1, 1
upon seeing, 1, 1
seeing a, 3, 3
a car, 15, 13
car coming, 1, 1
coming to, 2, 2
to him, 6, 6
him kris, 1, 1
kris waved, 1, 1
waved his, 1, 1
his arms, 1, 1
arms immediately, 1, 1
immediately saying, 1, 1
saying hey, 1, 1
hey taxi, 1, 1
taxi loudly, 1, 1
loudly then, 1, 1
then the, 1, 1
the car, 18, 13
car stopped, 1, 1
stopped however, 1, 1
however kris, 1, 1
kris wasn´t, 1, 1
wasn´t aware, 1, 1
aware that, 1, 1
that was, 2, 2
was a, 17, 12
a police, 1, 1
police car, 1, 1
car not, 1, 1
not a, 6, 5
taxi kris, 1, 1
kris couldn´t, 1, 1
couldn´t remember, 1, 1
remember anything, 1, 1
anything that, 1, 1
that had, 1, 1
had happened, 2, 2
happened during, 1, 1
the drive, 1, 1
the police, 6, 3
police office, 2, 1
office he, 2, 1
he was, 8, 7
was waken, 1, 1
waken up, 1, 1
up by, 2, 2
by a, 9, 9
a thunderous, 1, 1
thunderous sound, 1, 1
sound what, 1, 1
what are, 1, 1
are you, 1, 1
you doing, 1, 1
doing do, 1, 1
do you, 1, 1
you know, 3, 3
know where, 2, 2
where it, 1, 1
it is, 72, 43
is said, 1, 1
said the, 2, 2
police officer, 2, 1
officer kris, 1, 1
kris was, 2, 1
was shocked, 3, 3
shocked to, 2, 2
to death, 2, 2
death but, 1, 1
but had, 1, 1
had no, 4, 4
no reason, 2, 2
reason for, 2, 2
for explaination, 1, 1
explaination about, 1, 1
about 30, 1, 1
30 minutes, 1, 1
minutes later, 1, 1
later kris, 1, 1
was allowed, 2, 2
allowed to, 4, 4
to leave, 4, 3
leave he, 1, 1
was ashamed, 1, 1
ashamed for, 1, 1
for his, 3, 2
his trip, 1, 1
trip to, 4, 4
he appologized, 1, 1
appologized to, 1, 1
officer for, 1, 1
his irrational, 1, 1
irrational behavior, 1, 1
behavior and, 1, 1
and promised, 1, 1
promised that, 1, 1
that he, 22, 15
he wouldn´t, 1, 1
wouldn´t do, 1, 1
do it, 7, 7
it again, 1, 1
as, 64, 44
hellen, 1, 1
keller, 1, 1
“alone, 1, 1
we, 191, 60
little, 25, 17
together, 18, 17
”, 39, 25
maintaining, 1, 1
clean, 24, 13
environment, 23, 16
every, 57, 38
family, 107, 30
member’s, 2, 2
responsibility, 26, 14
for, 44, 32
students, 35, 16
cleaning, 13, 8
our, 125, 51
room, 14, 6
must-do, 1, 1
comes, 22, 19
chores, 64, 13
we, 32, 21
should, 89, 46
avoid, 6, 6
letting, 1, 1
parents, 23, 13
bed, 5, 5
us, 58, 33
putting, 4, 4
smelly, 1, 1
clothes, 12, 7
laundry, 8, 7
basket, 1, 1
also, 84, 53
start, 12, 10
from, 127, 74
simple, 9, 8
tasks, 9, 8
washing, 10, 8
dishes, 22, 16
mopping, 6, 5
floor, 21, 12
lady, 1, 1
may, 52, 33
become, 35, 28
great, 42, 27
help, 60, 34
kitchen, 8, 5
mothers, 1, 1
often, 28, 20
prepare, 2, 2
tasty, 3, 3
she, 72, 29
person, 50, 30
who, 77, 41
knows, 9, 7
anyone, 4, 4
father, 1, 1
bathroom, 7, 5
since, 12, 11
requires, 3, 3
energy, 7, 6
grandparents, 1, 1
charge, 5, 5
balcony, 1, 1
it’s, 4, 4
tiring, 5, 3
job, 29, 14
fresh, 1, 1
air, 2, 2
fragrance, 2, 2
flowers, 5, 4
benefit, 8, 7
health, 12, 4
am, 52, 33
only, 78, 48
child, 4, 4
takes, 10, 9
efforts, 8, 8
entire, 9, 7
house, 42, 14
three, 15, 11
holidays, 2, 2
usually, 13, 13
tidy, 6, 5
at, 14, 11
first, 38, 31
reluctant, 2, 2
grew, 3, 3
became, 14, 13
habit, 4, 4
me, 111, 43
responsible, 7, 7
cleaning, 1, 1
“reading, 1, 1
room”, 1, 1
task, 11, 8
put, 21, 17
all, 140, 73
books, 6, 6
back, 16, 13
belong, 2, 2
dust, 2, 1
shelves, 4, 4
finally, 19, 16
polish, 1, 1
dad’s, 3, 3
desk, 2, 2
watering, 1, 1
plants, 2, 1
alergic, 1, 1
getting, 11, 10
near, 4, 4
refreshing, 1, 1
mom, 8, 4
her, 108, 32
mostly, 5, 5
week, 10, 4
wants, 7, 7
try, 23, 18
new, 86, 27
change, 22, 13
she, 20, 11
likes, 2, 2
displays, 1, 1
precious, 5, 5
collection, 1, 1
china, 1, 1
teacups, 1, 1
while, 12, 10
work, 63, 35
turns, 7, 6
volume, 8, 7
plays, 4, 4
some, 72, 45
light, 11, 9
music, 30, 17
believes, 3, 3
beat, 5, 5
rhthem, 1, 1
dad, 9, 5
cleans, 3, 3
spots, 8, 6
difficult, 10, 8
reach, 8, 7
love, 19, 12
working, 17, 10
all, 11, 11
meaningful, 3, 3
place, 44, 23
live, 22, 18
just, 55, 31
thinking, 1, 1
makes, 14, 12
heart, 15, 13
race, 3, 2
doing, 7, 6
bonds, 1, 1
closer, 1, 1
sweet, 5, 4
it’s, 13, 10
very, 47, 25
unique, 5, 5
ours, 1, 1
hear-warming, 1, 1
feeling, 11, 10
forever, 5, 5
last, 13, 13
you, 21, 12
maintain, 14, 11
your, 47, 14
as hellen, 1, 1
hellen keller, 1, 1
keller said, 1, 1
said “alone, 1, 1
“alone we, 1, 1
we can, 32, 21
can do, 10, 8
so little, 1, 1
little together, 1, 1
together we, 2, 2
do much, 1, 1
much more, 8, 7
more ”, 1, 1
” maintaining, 1, 1
maintaining a, 1, 1
a clean, 6, 5
clean living, 2, 1
living environment, 6, 5
environment is, 2, 2
is every, 2, 2
every family, 6, 5
family member’s, 2, 2
member’s responsibility, 1, 1
responsibility for, 1, 1
for students, 1, 1
students cleaning, 1, 1
cleaning up, 3, 2
up our, 2, 2
our own, 4, 4
own room, 3, 2
room is, 3, 2
is a, 51, 34
a must-do, 1, 1
must-do when, 1, 1
when it, 8, 8
it comes, 12, 12
comes to, 13, 12
to chores, 1, 1
chores we, 1, 1
we should, 3, 3
should avoid, 1, 1
avoid letting, 1, 1
letting our, 1, 1
our parents, 1, 1
parents make, 1, 1
make the, 9, 9
the bed, 2, 2
bed for, 1, 1
for us, 8, 7
us or, 1, 1
or putting, 2, 2
putting our, 1, 1
our smelly, 1, 1
smelly clothes, 1, 1
clothes into, 1, 1
into the, 18, 16
the laundry, 7, 6
laundry basket, 1, 1
basket we, 1, 1
we can, 11, 8
can also, 4, 4
also start, 1, 1
start from, 1, 1
from simple, 1, 1
simple tasks, 1, 1
tasks like, 1, 1
like washing, 1, 1
washing the, 5, 4
the clothes, 4, 4
clothes do, 1, 1
do the, 11, 8
the dishes, 12, 11
dishes and, 5, 5
and mopping, 3, 3
mopping the, 5, 4
the floor, 17, 10
floor the, 2, 2
the lady, 1, 1
lady in, 1, 1
the family, 24, 14
family may, 1, 1
may become, 1, 1
become a, 14, 11
a great, 19, 15
great help, 1, 1
help when, 1, 1
when cleaning, 1, 1
cleaning the, 4, 3
the kitchen, 8, 5
kitchen mothers, 1, 1
mothers often, 1, 1
often prepare, 1, 1
prepare tasty, 1, 1
tasty dishes, 2, 2
dishes for, 2, 2
us so, 1, 1
so she, 2, 1
she is, 6, 5
is the, 43, 33
the person, 5, 5
person who, 8, 6
who knows, 2, 2
knows the, 1, 1
kitchen better, 1, 1
better than, 11, 9
than anyone, 2, 2
anyone in, 1, 1
family father, 1, 1
father should, 1, 1
should clean, 1, 1
clean up, 4, 3
up the, 20, 14
the living, 4, 3
living room, 4, 3
room and, 3, 3
the bathroom, 6, 4
bathroom since, 1, 1
since it, 2, 2
it requires, 1, 1
requires time, 1, 1
time and, 5, 5
and a, 7, 7
of energy, 2, 2
energy grandparents, 1, 1
grandparents can, 1, 1
can be, 33, 25
be in, 3, 3
in charge, 5, 5
charge of, 5, 5
the balcony, 1, 1
balcony it’s, 1, 1
it’s a, 1, 1
a less, 1, 1
less tiring, 1, 1
tiring job, 1, 1
job and, 4, 4
the fresh, 1, 1
fresh air, 1, 1
air and, 1, 1
and fragrance, 1, 1
fragrance of, 1, 1
the flowers, 1, 1
flowers may, 1, 1
may benefit, 1, 1
benefit their, 1, 1
their health, 1, 1
health i, 1, 1
i am, 49, 32
am the, 3, 3
the only, 6, 6
only child, 1, 1
child in, 1, 1
in my, 36, 22
my family, 17, 12
family so, 1, 1
so it, 2, 2
it takes, 2, 2
takes more, 1, 1
more efforts, 1, 1
efforts to, 4, 4
to clean, 4, 4
the entire, 5, 5
entire house, 1, 1
house with, 2, 1
with only, 1, 1
only three, 1, 1
three people, 1, 1
people in, 18, 17
family on, 2, 2
on holidays, 1, 1
holidays i, 1, 1
i usually, 1, 1
usually tidy, 1, 1
tidy up, 2, 2
the house, 17, 11
with my, 13, 11
my parents, 7, 5
parents at, 1, 1
at first, 2, 2
first i, 1, 1
i was, 42, 24
was reluctant, 1, 1
reluctant to, 2, 2
do my, 3, 3
my chores, 1, 1
chores but, 1, 1
but as, 2, 2
as i, 13, 10
i grew, 2, 2
grew up, 3, 3
up it, 1, 1
it became, 1, 1
became a, 4, 4
great habit, 2, 2
habit for, 1, 1
for me, 7, 7
me i, 6, 5
am responsible, 1, 1
responsible for, 6, 6
for my, 11, 11
my own, 9, 9
room cleaning, 1, 1
cleaning up, 1, 1
the “reading, 1, 1
“reading room”, 1, 1
room” is, 1, 1
is also, 12, 11
also my, 2, 1
my task, 1, 1
task i, 1, 1
i have, 30, 21
have to, 24, 22
to put, 5, 4
put all, 2, 2
all the, 33, 26
the books, 2, 2
books back, 2, 2
back to, 8, 6
to where, 2, 2
where they, 7, 7
they belong, 2, 2
belong clean, 1, 1
clean the, 3, 2
the dust, 1, 1
dust on, 1, 1
the shelves, 3, 3
shelves and, 3, 3
and finally, 4, 4
finally polish, 1, 1
polish my, 1, 1
my dad’s, 3, 3
dad’s desk, 1, 1
desk watering, 1, 1
watering the, 1, 1
the plants, 2, 1
plants is, 2, 1
my job, 1, 1
job since, 1, 1
since i, 2, 2
am alergic, 1, 1
alergic to, 1, 1
to dust, 1, 1
dust getting, 1, 1
getting near, 1, 1
near the, 2, 2
is refreshing, 1, 1
refreshing to, 1, 1
to me, 7, 7
me mom, 1, 1
mom spend, 1, 1
spend her, 1, 1
her time, 2, 2
time mostly, 1, 1
mostly in, 1, 1
kitchen throughout, 1, 1
the week, 1, 1
week so, 2, 2
she wants, 1, 1
wants to, 6, 6
to try, 8, 7
try something, 1, 1
something new, 5, 3
new for, 2, 2
a change, 3, 3
change she, 1, 1
she likes, 1, 1
likes cleaning, 1, 1
room where, 1, 1
where she, 3, 3
she displays, 1, 1
displays all, 1, 1
all of, 16, 16
of her, 7, 7
her precious, 1, 1
precious collection, 1, 1
collection of, 1, 1
of china, 1, 1
china teacups, 1, 1
teacups while, 1, 1
while doing, 1, 1
doing her, 2, 2
her work, 1, 1
work she, 1, 1
she turns, 1, 1
turns on, 1, 1
the volume, 5, 5
volume and, 2, 2
and plays, 1, 1
plays some, 1, 1
some light, 1, 1
light music, 1, 1
music she, 1, 1
she believes, 1, 1
believes that, 3, 3
that the, 45, 29
the beat, 2, 2
beat and, 1, 1
the rhthem, 1, 1
rhthem of, 1, 1
the music, 12, 9
music turns, 1, 1
turns her, 1, 1
her on, 1, 1
on and, 2, 2
and make, 8, 8
make her, 2, 2
her more, 1, 1
more efficient, 7, 6
efficient dad, 1, 1
dad cleans, 1, 1
cleans the, 3, 3
the spots, 1, 1
spots that, 1, 1
that are, 5, 5
are difficult, 1, 1
difficult to, 2, 2
to reach, 2, 2
reach in, 1, 1
kitchen and, 1, 1
bathroom i, 1, 1
i love, 5, 4
love working, 1, 1
working with, 1, 1
the people, 12, 8
people i, 3, 3
love all, 1, 1
all of, 4, 4
of us, 12, 8
us are, 1, 1
are doing, 2, 2
doing something, 2, 2
something meaningful, 1, 1
meaningful for, 1, 1
for the, 47, 33
the place, 4, 3
place we, 3, 3
we live, 6, 5
live in, 11, 9
in and, 1, 1
and just, 2, 2
just thinking, 1, 1
thinking of, 1, 1
of that, 8, 7
that makes, 1, 1
makes my, 1, 1
my heart, 7, 6
heart race, 1, 1
race doing, 1, 1
doing chores, 2, 2
chores definitely, 1, 1
definitely bonds, 1, 1
bonds me, 1, 1
me and, 8, 7
and my, 13, 10
family closer, 1, 1
closer the, 1, 1
the love, 2, 1
love of, 3, 2
of family, 2, 1
family is, 6, 5
is sweet, 1, 1
sweet and, 2, 2
and it’s, 1, 1
it’s also, 1, 1
also very, 2, 2
very unique, 2, 2
unique the, 1, 1
is ours, 1, 1
ours to, 1, 1
have the, 1, 1
the hear-warming, 1, 1
hear-warming feeling, 1, 1
feeling will, 1, 1
will forever, 1, 1
forever last, 1, 1
last you, 1, 1
you will, 1, 1
will start, 2, 2
start feeling, 1, 1
feeling it, 1, 1
it when, 2, 2
when you, 4, 4
you maintain, 1, 1
maintain a, 2, 2
environment with, 1, 1
with your, 2, 2
your family, 1, 1
shared, 5, 4
each, 35, 20
member, 21, 12
household, 21, 6
simply, 9, 8
unfair, 3, 3
expect, 6, 5
single, 6, 5
take, 81, 51
care, 19, 13
everything, 10, 10
taking, 12, 11
trash, 5, 2
these, 10, 9
dull, 1, 1
time-consuming, 2, 2
they’re, 1, 1
capable, 6, 5
driving, 7, 7
crazy, 4, 4
needs, 3, 3
unreasonable, 1, 1
amount, 9, 8
addition, 15, 15
think, 43, 30
obligation, 3, 3
pitch, 1, 1
around, 25, 21
chores, 2, 2
need, 28, 20
ensure, 3, 3
properly-functioning, 1, 1
everyone, 33, 21
appreciate, 7, 6
natural, 9, 6
individual, 11, 8
share, 15, 13
piece, 4, 4
burden, 8, 5
atmosphere, 8, 7
you’re, 3, 3
hard, 16, 13
my, 38, 20
ideal, 4, 4
consequently, 1, 1
includes, 2, 2
management, 1, 1
operates, 1, 1
under, 14, 13
autonomous, 1, 1
chore-doing, 1, 1
nobody, 2, 2
assigned, 7, 7
particular, 7, 5
instead, 4, 4
volunteers, 1, 1
mother, 28, 14
might, 34, 23
volunteer, 4, 4
hanging, 1, 1
