word, tf, idf
legs, 1, 1
little, 10, 8
will, 32, 17
sit, 2, 2
eyes, 1, 1
merely, 2, 2
relax, 3, 1
for, 16, 14
less, 9, 8
educated, 1, 1
underage, 1, 1
children, 25, 7
too, 7, 5
hard, 5, 5
them, 18, 13
practice, 3, 2
these, 15, 12
methods, 5, 3
deficiency, 4, 4
literacy, 1, 1
differently, 3, 3
practically, 2, 2
every, 16, 13
group, 14, 7
suitable, 2, 2
on, 10, 7
either, 3, 3
elder, 1, 1
refer, 2, 2
proper, 5, 4
low-intensity, 1, 1
exercise, 6, 2
system, 8, 4
which, 20, 14
suited, 1, 1
handicap, 1, 1
well-developing, 1, 1
even, 14, 13
some, 31, 17
international, 1, 1
events, 9, 5
related, 11, 11
emergy, 1, 1
physical, 1, 1
suggests, 5, 3
way, 18, 14
greater, 3, 3
fun, 2, 1
seeing, 6, 4
limited, 9, 8
location, 3, 3
most, 22, 15
don, 5, 5
t, 10, 8
close, 4, 4
proximity, 3, 3
theater, 1, 1
time, 45, 21
spent, 3, 3
traffic, 1, 1
scheduling, 1, 1
indispensable, 3, 3
trip, 3, 3
tiredness, 1, 1
commuting, 4, 2
pre-planning, 1, 1
considerably, 1, 1
counterbalances, 1, 1
reading, 1, 1
seems, 1, 1
reliable, 2, 2
however, 4, 4
time-consuming, 1, 1
find, 11, 8
right, 5, 4
caters, 1, 1
interest, 6, 6
conversely, 2, 2
jogging, 1, 1
no, 23, 18
requirement, 2, 2
physical, 6, 4
devices, 2, 2
courts, 1, 1
needed, 4, 4
basketball, 1, 1
are, 110, 30
widely, 1, 1
established, 2, 2
city, 4, 4
leading, 7, 6
access, 3, 3
physically, 1, 1
alleviate, 1, 1
pressure, 7, 4
should, 15, 10
embraced, 1, 1
another, 9, 9
costs, 1, 1
when, 29, 16
executing, 1, 1
since, 3, 3
ticket, 1, 1
costly, 1, 1
just, 9, 7
several, 6, 6
hours, 3, 3
also, 25, 14
purchasing, 2, 2
new, 31, 14
period, 2, 2
money-consuming, 1, 1
by, 6, 6
contrast, 3, 3
what, 16, 10
ball, 1, 1
use, 7, 7
consistently, 1, 1
what, 4, 4
s, 5, 4
jogging, 1, 1
gymnastics, 1, 1
cost, 2, 2
nothing, 1, 1
reduce, 7, 4
financial, 5, 3
expense, 2, 2
recreation, 1, 1
given, 2, 2
facilitation, 1, 1
low, 2, 2
threshold, 1, 1
regarded, 2, 2
working, 10, 8
when it, 2, 2
it comes, 3, 3
comes to, 3, 3
to relaxing, 1, 1
relaxing after, 1, 1
after a, 3, 2
a tedious, 2, 2
tedious daily, 2, 2
daily routine, 2, 2
routine it, 1, 1
is exercising, 1, 1
exercising physically, 1, 1
physically rather, 1, 1
rather than, 13, 9
than watching, 1, 1
watching a, 1, 1
a movie, 7, 1
movie or, 3, 1
or reading, 3, 1
reading a, 3, 1
a book, 4, 2
book that, 2, 1
that better, 1, 1
better fulfills, 1, 1
fulfills the, 1, 1
the purpose, 3, 3
purpose the, 1, 1
the former, 1, 1
former outshines, 1, 1
outshines the, 2, 2
the latter, 1, 1
latter in, 1, 1
in terms, 3, 3
terms of, 3, 3
of its, 2, 2
its feasibility, 2, 1
feasibility convenience, 1, 1
convenience and, 1, 1
and low-cost, 1, 1
low-cost in, 1, 1
in modern, 1, 1
modern society, 1, 1
society generally, 1, 1
generally speaking, 1, 1
speaking the, 1, 1
the major, 1, 1
major part, 1, 1
part of, 3, 3
of people, 5, 5
people tend, 1, 1
tend to, 2, 2
to do, 14, 9
do the, 2, 2
the outdoor, 1, 1
outdoor activity, 1, 1
activity than, 1, 1
than the, 6, 5
the indoor, 1, 1
indoor one, 1, 1
one although, 1, 1
although relaxing, 1, 1
relaxing with, 1, 1
with movies, 1, 1
movies or, 1, 1
or books, 1, 1
books has, 1, 1
has its, 1, 1
its point, 1, 1
point many, 1, 1
many students, 1, 1
students reject, 1, 1
reject to, 1, 1
to stay, 1, 1
stay in, 1, 1
in a, 19, 14
a study, 1, 1
study room, 1, 1
room and, 1, 1
and read, 1, 1
read a, 1, 1
a wordy, 1, 1
wordy novel, 1, 1
novel after, 1, 1
a tiring, 1, 1
tiring day, 1, 1
day surrounded, 1, 1
surrounded by, 1, 1
by the, 5, 4
the textbooks, 1, 1
textbooks while, 1, 1
while adults, 1, 1
adults confined, 1, 1
confined to, 1, 1
to the, 28, 18
the airtight, 1, 1
airtight office, 1, 1
office and, 1, 1
and stick, 1, 1
stick on, 1, 1
on a, 5, 5
a chair, 1, 1
chair without, 1, 1
without sufficient, 1, 1
sufficient space, 1, 1
space to, 1, 1
to move, 2, 2
move their, 2, 1
their legs, 1, 1
legs have, 1, 1
have little, 2, 2
little will, 1, 1
will to, 1, 1
to sit, 1, 1
sit and, 1, 1
and move, 1, 1
their eyes, 1, 1
eyes merely, 1, 1
merely as, 1, 1
as relax, 1, 1
relax for, 1, 1
for the, 3, 3
the less, 1, 1
less educated, 1, 1
educated or, 1, 1
or underage, 1, 1
underage children, 1, 1
children it, 1, 1
is too, 2, 2
too hard, 1, 1
hard for, 3, 3
for them, 5, 5
them to, 6, 5
to practice, 1, 1
practice these, 1, 1
these methods, 2, 2
methods because, 1, 1
because of, 12, 10
of the, 71, 22
the deficiency, 3, 3
deficiency in, 4, 4
in literacy, 1, 1
literacy differently, 1, 1
differently practically, 1, 1
practically every, 1, 1
every group, 1, 1
group is, 1, 1
is suitable, 1, 1
suitable for, 1, 1
for exercising, 2, 1
exercising on, 1, 1
on the, 7, 5
the one, 3, 3
one hand, 3, 3
hand either, 1, 1
either children, 2, 2
children or, 2, 2
or the, 1, 1
the elder, 1, 1
elder can, 1, 1
can refer, 1, 1
refer to, 2, 2
to proper, 1, 1
proper low-intensity, 1, 1
low-intensity exercise, 1, 1
exercise on, 1, 1
other hand, 5, 5
hand the, 2, 2
the exercise, 1, 1
exercise system, 1, 1
system which, 1, 1
which is, 5, 4
is suited, 1, 1
suited for, 1, 1
for the, 16, 12
the handicap, 1, 1
handicap is, 1, 1
is well-developing, 1, 1
well-developing even, 1, 1
even some, 1, 1
some international, 1, 1
international events, 1, 1
events related, 1, 1
related to, 5, 5
to it, 2, 2
it emergy, 1, 1
emergy physical, 1, 1
physical exercise, 1, 1
exercise suggests, 1, 1
suggests a, 3, 2
a better, 1, 1
better way, 2, 2
way to, 9, 8
to relax, 1, 1
relax because, 1, 1
the greater, 1, 1
greater convenience, 1, 1
convenience the, 1, 1
the fun, 1, 1
fun of, 1, 1
of seeing, 1, 1
seeing a, 3, 1
movie is, 1, 1
is limited, 4, 4
limited by, 1, 1
the location, 1, 1
location most, 1, 1
most people, 1, 1
people don, 1, 1
don t, 4, 4
t live, 1, 1
live in, 3, 3
in the, 40, 24
the close, 1, 1
close proximity, 2, 2
proximity to, 3, 3
to a, 11, 8
movie theater, 1, 1
theater the, 1, 1
the time, 1, 1
time spent, 1, 1
spent on, 1, 1
on traffic, 1, 1
traffic and, 1, 1
and scheduling, 1, 1
scheduling is, 1, 1
is indispensable, 2, 2
indispensable for, 2, 2
for a, 10, 7
movie trip, 1, 1
trip the, 1, 1
the tiredness, 1, 1
tiredness from, 1, 1
the commuting, 1, 1
commuting and, 1, 1
and pre-planning, 1, 1
pre-planning considerably, 1, 1
considerably counterbalances, 1, 1
counterbalances the, 1, 1
the relax, 1, 1
relax from, 1, 1
the movie, 1, 1
movie reading, 1, 1
reading the, 1, 1
the book, 3, 2
book seems, 1, 1
seems more, 1, 1
more reliable, 2, 2
reliable however, 1, 1
however it, 2, 2
is time-consuming, 1, 1
time-consuming to, 1, 1
to find, 4, 4
find a, 2, 2
a right, 1, 1
right book, 1, 1
that caters, 1, 1
caters our, 1, 1
our interest, 1, 1
interest conversely, 1, 1
conversely jogging, 1, 1
jogging has, 1, 1
has little, 1, 1
little or, 5, 5
or no, 5, 5
no requirement, 1, 1
requirement on, 1, 1
on the, 36, 19
the physical, 1, 1
physical devices, 1, 1
devices as, 1, 1
as the, 4, 3
the courts, 1, 1
courts needed, 1, 1
needed for, 2, 2
for basketball, 1, 1
basketball are, 1, 1
are widely, 1, 1
widely established, 1, 1
established in, 1, 1
the city, 3, 3
city leading, 2, 2
leading to, 7, 6
to more, 2, 2
more access, 1, 1
access to, 1, 1
to physical, 1, 1
physical exercise, 2, 2
exercise physically, 1, 1
physically exercising, 1, 1
exercising to, 1, 1
to alleviate, 1, 1
alleviate the, 1, 1
the pressure, 5, 3
pressure should, 1, 1
should be, 7, 5
be better, 1, 1
better embraced, 1, 1
embraced rather, 1, 1
than seeing, 2, 1
book for, 1, 1
for another, 2, 2
another reason, 2, 2
reason it, 1, 1
it costs, 1, 1
costs less, 1, 1
less when, 1, 1
when executing, 1, 1
executing since, 1, 1
since a, 1, 1
movie ticket, 1, 1
ticket is, 1, 1
is costly, 1, 1
costly for, 1, 1
for just, 1, 1
just several, 1, 1
several hours, 1, 1
hours of, 1, 1
of fun, 1, 1
fun also, 1, 1
also purchasing, 1, 1
purchasing new, 1, 1
new books, 1, 1
books every, 1, 1
every period, 1, 1
period of, 1, 1
of time, 2, 2
time is, 2, 2
is money-consuming, 1, 1
money-consuming by, 1, 1
by contrast, 1, 1
contrast what, 1, 1
what we, 4, 3
we need, 2, 2
need for, 2, 2
exercising is, 2, 1
is a, 12, 11
a ball, 1, 1
ball which, 1, 1
which can, 2, 2
can use, 1, 1
use consistently, 1, 1
consistently what, 1, 1
what s, 1, 1
s more, 1, 1
more some, 1, 1
some exercise, 1, 1
exercise such, 1, 1
as jogging, 1, 1
jogging and, 1, 1
and gymnastics, 1, 1
gymnastics cost, 1, 1
cost nothing, 1, 1
nothing to, 1, 1
to reduce, 6, 3
reduce financial, 1, 1
financial expense, 1, 1
expense on, 1, 1
on recreation, 1, 1
recreation given, 1, 1
given its, 1, 1
feasibility facilitation, 1, 1
facilitation and, 1, 1
and low, 1, 1
low financial, 1, 1
financial threshold, 1, 1
threshold physically, 1, 1
physically exercising, 1, 1
is regarded, 1, 1
regarded as, 2, 2
as a, 6, 6
a practice, 1, 1
practice better, 1, 1
better than, 8, 6
book to, 1, 1
reduce the, 4, 3
pressure on, 3, 2
the tedious, 1, 1
tedious study, 1, 1
study and, 1, 1
and working, 1, 1
opinion, 5, 5
knowledge, 20, 11
subejcts, 1, 1
number, 8, 6
reasons, 12, 11
about, 28, 16
kind, 6, 4
things, 26, 14
great, 9, 7
influences, 2, 2
future, 8, 7
you, 73, 12
get, 8, 8
job, 7, 3
not, 76, 26
same, 6, 6
work, 22, 12
whole, 4, 4
life, 25, 13
father, 2, 2
priest, 1, 1
keeps, 1, 1
kindergarden, 1, 1
he, 42, 13
knoews, 1, 1
his, 25, 11
teaching, 1, 1
college, 5, 3
left, 1, 1
grduated, 1, 1
went, 3, 3
studyed, 1, 1
religion, 1, 1
talks, 1, 1
good, 21, 15
activities, 4, 4
hobbys, 1, 1
able, 4, 4
make, 29, 20
relationships, 2, 1
around, 5, 5
everyone, 3, 3
different, 12, 10
defferent, 1, 1
interests, 1, 1
if, 34, 16
only, 30, 22
conversation, 2, 1
subject, 4, 2
may, 17, 12
boring, 1, 1
each, 5, 5
finally, 5, 5
very, 31, 15
but, 43, 27
i, 15, 6
interesting, 1, 1
my opinion, 3, 3
opinion it, 1, 1
broad knowledge, 1, 1
knowledge of, 4, 3
academic subejcts, 1, 1
subejcts by, 1, 1
by number, 1, 1
number of, 6, 4
of reasons, 2, 2
reasons first, 1, 1
first to, 1, 1
to know, 2, 2
know about, 2, 1
about many, 1, 1
many kind, 1, 1
kind of, 6, 4
of things, 1, 1
things be, 1, 1
be great, 1, 1
great influences, 1, 1
influences for, 1, 1
the future, 4, 3
future when, 1, 1
when you, 7, 5
you get, 1, 1
get job, 1, 1
job you, 1, 1
you will, 4, 2
will not, 3, 3
not do, 1, 1
do same, 1, 1
same kind, 1, 1
of work, 1, 1
work for, 1, 1
for whole, 1, 1
whole life, 1, 1
life my, 1, 1
my father, 1, 1
father is, 1, 1
is priest, 1, 1
priest and, 1, 1
and keeps, 1, 1
keeps a, 1, 1
a kindergarden, 1, 1
kindergarden he, 1, 1
he knoews, 1, 1
knoews about, 1, 1
about children, 2, 2
children because, 1, 1
because his, 1, 1
his major, 1, 1
major was, 1, 1
was teaching, 1, 1
teaching in, 1, 1
in his, 2, 2
his college, 1, 1
college after, 1, 1
after he, 1, 1
he left, 1, 1
left grduated, 1, 1
grduated the, 1, 1
the college, 1, 1
college he, 1, 1
he went, 1, 1
went to, 3, 3
to another, 2, 2
another college, 1, 1
college and, 1, 1
and studyed, 1, 1
studyed about, 1, 1
about religion, 1, 1
religion he, 1, 1
he talks, 1, 1
talks to, 1, 1
to so, 1, 1
so many, 5, 2
many people, 4, 3
people and, 1, 1
and has, 1, 1
has good, 2, 2
good activities, 1, 1
activities and, 1, 1
and hobbys, 1, 1
hobbys second, 1, 1
second you, 1, 1
will be, 14, 11
be able, 3, 3
able to, 4, 4
to make, 7, 7
make good, 1, 1
good relationships, 1, 1
relationships with, 1, 1
with other, 1, 1
other people, 2, 2
people there, 1, 1
there are, 7, 6
are so, 1, 1
people around, 1, 1
around you, 1, 1
you and, 1, 1
and everyone, 1, 1
everyone is, 1, 1
is different, 1, 1
different and, 1, 1
and have, 1, 1
have defferent, 1, 1
defferent interests, 1, 1
interests if, 1, 1
if you, 13, 6
you have, 3, 3
have only, 1, 1
only limited, 1, 1
limited knowledge, 1, 1
knowledge and, 2, 2
and if, 2, 2
if a, 2, 2
a conversation, 1, 1
conversation is, 1, 1
is not, 18, 12
not about, 1, 1
about the, 6, 5
the subject, 2, 1
subject you, 2, 1
you know, 2, 2
know the, 3, 2
the conversation, 1, 1
conversation may, 1, 1
may be, 6, 6
be boring, 1, 1
boring for, 1, 1
for each, 1, 1
each other, 3, 3
other finally, 1, 1
finally if, 1, 1
you specialize, 1, 1
specific subject, 1, 1
will know, 1, 1
subject very, 1, 1
very well, 2, 2
well but, 1, 1
but so, 1, 1
many things, 3, 2
things will, 1, 1
be limited, 1, 1
limited such, 1, 1
as job, 1, 1
job relationships, 1, 1
relationships i, 1, 1
i think, 4, 2
think it, 2, 2
not interesting, 1, 1
interesting to, 1, 1
to live, 4, 4
disagree, 4, 4
idea, 9, 7
first, 6, 6
learning, 7, 6
facts, 27, 6
basical, 2, 1
enter, 1, 1
class, 4, 4
famous, 4, 4
teacher, 5, 3
making, 4, 4
understand, 16, 6
real, 9, 5
meanings, 1, 1
learning, 3, 3
makes, 11, 7
us, 7, 6
wake, 2, 2
up, 16, 12
cheep, 1, 1
but, 9, 7
become, 11, 9
perrson, 1, 1
thinkings, 4, 1
secondly, 4, 4
understanding, 7, 6
discribing, 1, 1
thinking, 4, 3
act, 1, 1
basical, 1, 1
affected, 1, 1
persons, 1, 1
belief, 1, 1
examples, 2, 2
person, 1, 1
danger, 1, 1
japanese, 1, 1
and, 5, 5
they, 48, 19
want, 9, 5
they, 6, 4
themselves, 4, 3
runing, 1, 1
away, 1, 1
because, 7, 6
teach, 3, 2
pay, 2, 2
attenntion, 1, 1
recieve, 1, 1
i disagree, 2, 2
disagree this, 1, 1
this idea, 2, 2
idea first, 2, 2
first learning, 1, 1
learning the, 1, 1
the facts, 7, 4
facts is, 3, 3
is basical, 1, 1
basical thing, 1, 1
thing if, 1, 1
if we, 1, 1
we enter, 1, 1
enter the, 1, 1
the class, 1, 1
class which, 1, 1
which famous, 1, 1
famous teacher, 1, 1
teacher making, 1, 1
making we, 1, 1
we can, 10, 5
can not, 2, 2
not understand, 2, 2
understand in, 1, 1
in real, 2, 2
real meanings, 1, 1
meanings learning, 1, 1
learning the, 2, 2
facts makes, 1, 1
makes us, 2, 2
us wake, 1, 1
wake up, 2, 2
up we, 1, 1
we are, 3, 2
are students, 1, 1
students we, 1, 1
are cheep, 1, 1
cheep person, 1, 1
person but, 1, 1
but we, 1, 1
we study, 1, 1
study facts, 1, 1
facts we, 2, 2
can become, 1, 1
become the, 1, 1
the perrson, 1, 1
perrson who, 1, 1
who can, 1, 1
can have, 5, 5
have real, 1, 1
real thinkings, 1, 1
thinkings secondly, 1, 1
secondly understanding, 1, 1
understanding is, 1, 1
is discribing, 1, 1
discribing the, 1, 1
the way, 1, 1
way of, 2, 1
of thinking, 2, 1
thinking we, 1, 1
we act, 1, 1
act on, 1, 1
the basical, 1, 1
basical thinkings, 1, 1
thinkings basical, 1, 1
basical thinkings, 1, 1
thinkings can, 1, 1
be affected, 1, 1
affected by, 1, 1
by other, 1, 1
other persons, 1, 1
persons thinkings, 1, 1
thinkings belief, 1, 1
belief is, 1, 1
is good, 2, 2
good examples, 2, 2
examples person, 1, 1
person can, 1, 1
can only, 1, 1
only think, 1, 1
think about, 2, 2
about one, 1, 1
one way, 1, 1
thinking he, 1, 1
he is, 3, 3
is very, 10, 7
very danger, 1, 1
danger japanese, 1, 1
japanese students, 1, 1
students do, 1, 1
do not, 9, 5
not know, 1, 1
know real, 1, 1
real facts, 2, 1
facts and, 1, 1
and they, 1, 1
they tend, 1, 1
tend not, 1, 1
not want, 2, 2
want to, 3, 3
the real, 1, 1
facts they, 1, 1
they know, 1, 1
facts are, 3, 3
are hard, 1, 1
for themselves, 1, 1
themselves they, 1, 1
they are, 1, 1
are runing, 1, 1
runing away, 1, 1
away because, 1, 1
because teacher, 1, 1
teacher should, 1, 1
should teach, 1, 1
teach facts, 1, 1
facts we, 1, 1
we should, 1, 1
should pay, 1, 1
pay attenntion, 1, 1
attenntion to, 1, 1
to recieve, 1, 1
recieve facts, 1, 1
recently, 3, 3
psycologyst, 1, 1
proclaimed, 1, 1
prefering, 1, 1
old, 8, 2
cant, 4, 4
success, 4, 4
like, 3, 2
courage, 1, 1
neccesiary, 1, 1
successful, 8, 5
try, 17, 8
sence, 2, 1
field, 4, 2
an, 42, 20
responsibility, 5, 3
affection, 1, 1
firstly, 2, 2
fields, 1, 1
rationale, 1, 1
behind, 1, 1
struggle, 2, 2
prove, 1, 1
whether, 1, 1
therir, 1, 1
theory, 2, 2
situation, 6, 5
exact, 1, 1
it, 26, 19
hardly, 2, 2
example, 16, 10
brothers, 1, 1
science, 11, 5
didnt, 3, 2
last, 4, 4
semmester, 1, 1
his, 1, 1
proffesior, 1, 1
gave, 4, 3
him, 9, 6
homework, 1, 1
product, 18, 5
afeter, 1, 1
concentrating, 2, 2
even, 3, 3
meal, 2, 2
put, 1, 1
off, 1, 1
above, 4, 4
tring, 2, 1
ways, 8, 5
concentrate, 2, 2
genarally, 1, 1
proclaim, 1, 1
credit, 1, 1
proved, 1, 1
wrong, 3, 3
then, 8, 3
loose, 1, 1
trusty, 1, 1
advise, 1, 1
cousin, 1, 1
self, 3, 2
me, 35, 15
lastry, 1, 1
finding, 5, 5
recently some, 1, 1
some psycologyst, 1, 1
psycologyst proclaimed, 1, 1
proclaimed that, 1, 1
that prefering, 1, 1
prefering the, 1, 1
the old, 2, 2
old things, 1, 1
things make, 2, 1
make people, 1, 1
people cant, 1, 1
cant get, 1, 1
get success, 1, 1
success like, 1, 1
like their, 1, 1
their opinion, 1, 1
opinion i, 1, 1
i believe, 1, 1
believe the, 1, 1
the courage, 1, 1
courage to, 1, 1
to new, 2, 1
new one, 1, 1
one is, 2, 2
is neccesiary, 1, 1
neccesiary to, 1, 1
to be, 10, 8
be the, 4, 4
the successful, 1, 1
successful people, 2, 2
people because, 1, 1
because the, 2, 2
the person, 3, 3
who try, 2, 1
try new, 6, 4
new things, 11, 4
things has, 1, 1
has more, 1, 1
more sence, 1, 1
sence about, 2, 1
about their, 4, 2
their field, 3, 1
field an, 1, 1
an more, 1, 1
more responsibility, 3, 1
responsibility and, 1, 1
and more, 3, 3
more real, 1, 1
real affection, 1, 1
affection firstly, 1, 1
firstly the, 1, 1
the people, 9, 7
people who, 10, 7
try to, 6, 3
do new, 1, 1
things have, 1, 1
have great, 1, 1
great sence, 1, 1
their fields, 1, 1
fields the, 1, 1
the rationale, 1, 1
rationale behind, 1, 1
behind this, 1, 1
this is, 1, 1
that they, 5, 4
they struggle, 1, 1
struggle to, 1, 1
to prove, 1, 1
prove whether, 1, 1
whether therir, 1, 1
therir theory, 1, 1
theory is, 1, 1
is right, 1, 1
right in, 1, 1
in this, 5, 5
this situation, 1, 1
situation the, 4, 3
the exact, 1, 1
exact knowledge, 1, 1
knowledge is, 2, 2
is needed, 2, 2
needed to, 2, 2
to them, 3, 3
them it, 2, 2
it makes, 3, 2
makes they, 1, 1
they study, 1, 1
study more, 1, 1
more hardly, 1, 1
hardly about, 1, 1
about that, 2, 1
that for, 1, 1
for example, 8, 7
example my, 1, 1
my brothers, 1, 1
brothers major, 1, 1
major is, 1, 1
is science, 1, 1
science but, 1, 1
but he, 3, 2
he didnt, 2, 1
didnt interest, 1, 1
interest about, 1, 1
that last, 1, 1
last semmester, 1, 1
semmester his, 1, 1
his proffesior, 1, 1
proffesior gave, 1, 1
gave him, 1, 1
him homework, 1, 1
homework to, 1, 1
make new, 1, 1
new product, 1, 1
product afeter, 1, 1
afeter this, 1, 1
this he, 1, 1
he was, 6, 4
was concentrating, 1, 1
concentrating on, 2, 2
on his, 1, 1
his work, 2, 2
work even, 1, 1
even meal, 1, 1
meal time, 1, 1
time he, 1, 1
didnt put, 1, 1
put off, 1, 1
off his, 1, 1
his book, 1, 1
book like, 1, 1
like above, 1, 1
above the, 2, 2
the tring, 2, 1
tring which, 1, 1
which find, 1, 1
find new, 1, 1
new ways, 3, 2
ways makes, 1, 1
makes people, 2, 2
people more, 1, 1
more concentrate, 1, 1
concentrate to, 1, 1
to their, 1, 1
field secondly, 1, 1
secondly the, 1, 1
tring to, 1, 1
make them, 1, 1
them more, 1, 1
responsibility genarally, 1, 1
genarally to, 1, 1
to proclaim, 1, 1
proclaim some, 1, 1
some new, 4, 3
things is, 1, 1
is related, 1, 1
related with, 1, 1
with their, 4, 4
their credit, 1, 1
credit because, 1, 1
because if, 2, 2
if it, 4, 4
is proved, 1, 1
proved wrong, 1, 1
wrong then, 1, 1
then they, 1, 1
they will, 3, 2
